dim_site_id,dim_source,dim_load_date,site_name,on_sitehousing,createdon,updatedon,verificationlevel,visiting_country,visiting_region,is_certification_scope
A25129328510B872FC9DE8B26D4EA059,RACP,09/09/22 12:26:00,Site 376564,No,01/01/00 00:00:00,05/12/22 08:46:00,Not Applicable,Turkey,Asia and Pacific,TRUE
A2621D3C180534F44269FFD2698C078C,RACP,09/09/22 12:26:00,Site 365419,Yes,04/21/22 08:11:00,01/01/00 00:00:00,Not Applicable,Indonesia,Asia and Pacific,TRUE
A273E9B5D9D01EEDDC7653E09D3B6884,RACP,09/09/22 12:26:00,Site 338396,No,01/01/00 00:00:00,08/05/22 22:13:00,,Guatemala,Latin America,TRUE
A2C1C6CB4A1F6F47A8AD767364359E7A,RACP,09/09/22 12:26:00,Site 622864,,06/18/22 09:05:00,06/20/22 13:34:00,Not Applicable,Uganda,Africa,TRUE
A2FFD88795A3DF7A49DC4CB73F6DAD2A,RACP,09/09/22 12:26:00,Site 312185,No,04/21/22 08:09:00,01/04/22 06:00:00,Not Applicable,Sri Lanka,Asia and Pacific,TRUE
A36583AF11416D65F3A5FED7E87E1B37,RACP,09/09/22 12:26:00,Site 226224,No,04/21/22 08:09:00,01/28/22 05:16:00,Not Applicable,India,Asia and Pacific,TRUE
A39D5F94EFABFD9F913C4A8EF82119A9,RACP,09/09/22 12:26:00,Site 037602,No,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
A3B1904D6118373EE378B2D6E7E88070,RACP,09/09/22 12:26:00,Site 736424,No,01/01/00 00:00:00,06/06/22 08:49:00,Not Applicable,Kenya,Africa,TRUE
A3CEB95F44FC71F9AFB08FDBBF6575C7,RACP,09/09/22 12:26:00,Site 745019,,05/24/22 11:41:00,06/06/22 15:19:00,B-Low,Germany,Europe,TRUE
A40AA1EB51A9E0519621839D6CE0DB32,RACP,09/09/22 12:26:00,Site 757926,,05/14/22 07:01:00,05/20/22 02:31:00,Not Applicable,India,Asia and Pacific,TRUE
A4389EF864B26EEF9A0CF885C54AD09B,RACP,09/09/22 12:26:00,Site 887822,,06/23/22 16:00:00,07/07/22 20:04:00,D-High,Italy,Europe,TRUE
A446CCBE61BBC24BBA0F7D71A2E5BE96,RACP,09/09/22 12:26:00,Site 777872,No,01/01/00 00:00:00,06/06/22 08:49:00,Not Applicable,Kenya,Africa,TRUE
A4673E283520194E18D7ABD0E2BAB06F,RACP,09/09/22 12:26:00,Site 912111,Yes,01/01/00 00:00:00,08/10/22 08:54:00,,Viet Nam,Asia and Pacific,TRUE
A4787C88716B710B71E9FF0836C8AC3B,RACP,09/09/22 12:26:00,Site 085232,No,01/01/00 00:00:00,08/01/22 07:10:00,Not Applicable,Turkey,Asia and Pacific,TRUE
A48C1773C7788F22DD0A22203FBFFA82,RACP,09/09/22 12:26:00,Site 993206,No,01/01/00 00:00:00,08/04/22 12:43:00,Not Applicable,Turkey,Asia and Pacific,TRUE
A49B6580CBC0281C5235BC18069FB351,RACP,09/09/22 12:26:00,Site 429039,No,07/12/22 20:34:00,07/12/22 20:39:00,Not Applicable,Colombia,Latin America,TRUE
A4B23F2142B8258C43A4900B2BC8168D,RACP,09/09/22 12:26:00,Site 853080,No,01/01/00 00:00:00,08/19/22 06:27:00,Not Applicable,Turkey,Asia and Pacific,TRUE
A5547B0062469A8345411705896460D0,RACP,09/09/22 12:26:00,Site 400382,No,01/01/00 00:00:00,08/01/22 17:54:00,Not Applicable,Guatemala,Latin America,TRUE
A5632C32309201901A6E46A0E9619D47,RACP,09/09/22 12:26:00,Site 669728,No,04/21/22 08:08:00,01/13/22 15:05:00,B-Low,Brazil,Latin America,TRUE
A578596D837154F2EE8D5D81A71DBE27,RACP,09/09/22 12:26:00,Site 419014,No,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
A5A7BBFD54FB792EDC129F84E0D84F5E,RACP,09/09/22 12:26:00,Site 181269,No,07/13/22 15:24:00,07/13/22 15:32:00,Not Applicable,Colombia,Latin America,TRUE
A5C07FCBFEBBB57669D38454EA6C8BCA,RACP,09/09/22 12:26:00,Site 084760,No,01/01/00 00:00:00,07/19/22 17:17:00,,Guatemala,Latin America,TRUE
A5E7D6855CB1A03A3FB9C354FD0E6BE8,RACP,09/09/22 12:26:00,Site 912111,Yes,01/01/00 00:00:00,08/10/22 08:54:00,,Viet Nam,Asia and Pacific,TRUE
A662A975F9A2EF47C34256709A3D8459,RACP,09/09/22 12:26:00,Site 885735,No,01/01/00 00:00:00,07/01/22 16:53:00,Needs Manual Review,Belgium,Europe,TRUE
A67E3EB26C76DF7B6D32881F5AFED822,RACP,09/09/22 12:26:00,Site 272025,,08/05/22 19:44:00,08/05/22 20:39:00,Not Applicable,Costa Rica,Latin America,TRUE
